04-Feb 20:49:14 test127      146.1 sec 

---------------------------------------------- [debug] [compact]
04-Feb 20:51:49 test187        4.6 sec 
04-Feb 20:51:51 test186        1.1 sec 
04-Feb 20:53:02 test185       71.5 sec 
04-Feb 20:54:19 test185       76.7 sec 
04-Feb 20:54:21 test184        2.2 sec 
04-Feb 20:54:21 test183        0.0 sec 
04-Feb 20:54:26 test182        4.8 sec 
04-Feb 20:54:38 test181       11.9 sec 
04-Feb 20:54:42 test180        3.9 sec 
04-Feb 20:54:47 test180        5.9 sec 
04-Feb 20:54:48 test179        0.1 sec 
04-Feb 20:54:48 test165        0.0 sec 
04-Feb 20:54:48 test01         0.4 sec 
04-Feb 20:54:48 test01         0.2 sec 
04-Feb 20:54:48 test07b        0.0 sec 
04-Feb 20:54:48 test168        0.0 sec 
04-Feb 20:54:48 test83         0.0 sec 
04-Feb 20:54:48 test176        0.1 sec 
04-Feb 20:54:48 test174        0.1 sec 
04-Feb 20:54:48 test170        0.1 sec 
04-Feb 20:54:48 test169        0.0 sec 
04-Feb 20:54:49 test166        0.1 sec 
04-Feb 20:54:49 test164        0.1 sec 
04-Feb 20:54:50 test152        1.8 sec 
04-Feb 20:54:51 test155        0.2 sec 
04-Feb 20:54:51 test156        0.8 sec 
04-Feb 20:54:51 test136        0.1 sec 
04-Feb 20:54:52 test02         0.2 sec 
04-Feb 20:54:52 test150        0.1 sec 
04-Feb 20:54:52 test109        0.1 sec 
04-Feb 20:54:52 test109        0.0 sec 
04-Feb 20:54:52 test110        0.1 sec 
04-Feb 20:54:52 test04         0.0 sec 
04-Feb 20:54:59 test142        7.4 sec 
04-Feb 20:55:00 test162        0.1 sec 
04-Feb 20:55:00 test161        0.2 sec 
04-Feb 20:55:01 test159        1.0 sec 
04-Feb 20:55:01 test137        0.1 sec 
04-Feb 20:55:01 test139        0.2 sec 
04-Feb 20:55:01 test09         0.0 sec 
04-Feb 20:55:01 test132        0.1 sec 
04-Feb 20:55:01 test15         0.1 sec 
04-Feb 20:55:01 test167        0.1 sec 
04-Feb 20:55:02 test177        0.9 sec 
