
---------------------------------------------- [malloc] [cover]
17-Jul-2019 09:43:23 test74     87.1 sec coverage:  4799 of  9574 ( 50.1%)
17-Jul-2019 09:43:35 test127    14.2 sec coverage:  5419 of  9574 ( 56.6%)
17-Jul-2019 09:43:36 test126     0.3 sec coverage:  5457 of  9574 ( 57.0%)
17-Jul-2019 09:43:43 test30b    57.4 sec coverage:  5508 of  9574 ( 57.5%)
17-Jul-2019 09:43:48 test30     22.5 sec coverage:  5515 of  9574 ( 57.6%)
17-Jul-2019 09:43:49 test124     0.7 sec coverage:  5527 of  9574 ( 57.7%)
17-Jul-2019 09:43:52 test115    21.8 sec coverage:  5547 of  9574 ( 57.9%)
17-Jul-2019 09:43:53 test101     0.5 sec coverage:  5630 of  9574 ( 58.8%)
17-Jul-2019 09:43:55 test103     2.5 sec coverage:  5732 of  9574 ( 59.9%)
17-Jul-2019 09:43:56 test104     1.4 sec coverage:  5738 of  9574 ( 59.9%)
17-Jul-2019 09:43:58 test105     2.9 sec coverage:  5744 of  9574 ( 60.0%)
17-Jul-2019 09:44:03 test106    28.9 sec coverage:  5790 of  9574 ( 60.5%)
17-Jul-2019 09:44:04 test107    23.4 sec coverage:  5807 of  9574 ( 60.7%)
17-Jul-2019 09:44:04 test108     0.3 sec coverage:  5821 of  9574 ( 60.8%)
17-Jul-2019 09:44:04 test109     0.0 sec coverage:  5825 of  9574 ( 60.8%)
17-Jul-2019 09:44:04 test110     0.1 sec coverage:  5833 of  9574 ( 60.9%)
17-Jul-2019 09:44:04 test98      0.1 sec coverage:  5838 of  9574 ( 61.0%)
17-Jul-2019 09:44:04 test92      0.0 sec coverage:  5843 of  9574 ( 61.0%)
17-Jul-2019 09:44:04 test97      0.1 sec coverage:  5843 of  9574 ( 61.0%)
17-Jul-2019 09:44:06 test100     2.7 sec coverage:  5851 of  9574 ( 61.1%)
17-Jul-2019 09:44:07 test01      0.1 sec coverage:  6404 of  9574 ( 66.9%)
17-Jul-2019 09:44:07 test02      0.2 sec coverage:  6695 of  9574 ( 69.9%)
17-Jul-2019 09:44:07 test03      0.1 sec coverage:  6696 of  9574 ( 69.9%)
17-Jul-2019 09:44:07 test04      0.0 sec coverage:  6706 of  9574 ( 70.0%)
17-Jul-2019 09:44:07 test05      0.0 sec coverage:  6707 of  9574 ( 70.1%)
17-Jul-2019 09:44:07 test07      0.0 sec coverage:  6710 of  9574 ( 70.1%)
17-Jul-2019 09:44:07 test07b     0.0 sec coverage:  6711 of  9574 ( 70.1%)
17-Jul-2019 09:44:10 test08      3.7 sec coverage:  6716 of  9574 ( 70.1%)
17-Jul-2019 09:44:10 test09      0.0 sec coverage:  6716 of  9574 ( 70.1%)
17-Jul-2019 09:44:10 test15      0.1 sec coverage:  6726 of  9574 ( 70.3%)
17-Jul-2019 09:44:10 test17      0.3 sec coverage:  6731 of  9574 ( 70.3%)
17-Jul-2019 09:44:15 test72    103.9 sec coverage:  6763 of  9574 ( 70.6%)
17-Jul-2019 09:44:16 test26      0.4 sec coverage:  6835 of  9574 ( 71.4%)
17-Jul-2019 09:44:16 test78      0.2 sec coverage:  6835 of  9574 ( 71.4%)
17-Jul-2019 09:44:19 test12      3.7 sec coverage:  6843 of  9574 ( 71.5%)
17-Jul-2019 09:44:36 test54     17.2 sec coverage:  6872 of  9574 ( 71.8%)
17-Jul-2019 09:44:38 test29      2.1 sec coverage:  6992 of  9574 ( 73.0%)
17-Jul-2019 09:44:42 test69      9.5 sec coverage:  6994 of  9574 ( 73.1%)
17-Jul-2019 09:44:43 test28      0.2 sec coverage:  6994 of  9574 ( 73.1%)
17-Jul-2019 09:44:46 test11      4.2 sec coverage:  6997 of  9574 ( 73.1%)
17-Jul-2019 09:44:52 test14      7.1 sec coverage:  7096 of  9574 ( 74.1%)
17-Jul-2019 09:44:56 test80      4.8 sec coverage:  7113 of  9574 ( 74.3%)
17-Jul-2019 09:50:09 test81    313.3 sec coverage:  7120 of  9574 ( 74.4%)
17-Jul-2019 09:50:09 test82      0.2 sec coverage:  7120 of  9574 ( 74.4%)
17-Jul-2019 09:50:09 test83      0.0 sec coverage:  7125 of  9574 ( 74.4%)
17-Jul-2019 09:50:09 test84      0.0 sec coverage:  7133 of  9574 ( 74.5%)
17-Jul-2019 09:50:09 test85      0.0 sec coverage:  7133 of  9574 ( 74.5%)
17-Jul-2019 09:50:13 test88     11.3 sec coverage:  7142 of  9574 ( 74.6%)
17-Jul-2019 09:50:21 test00    159.2 sec coverage:  7175 of  9574 ( 74.9%)
